season,offense,team_off_snaps
2022,OHAK,1067
2023,OHAK,935
2024,OHAK,943
2020,OHBG,390
2021,OHBG,966
2022,OHBG,1050
2023,OHBG,961
2024,OHBG,1025
2023,OHCE,179
2024,OHCE,73
2020,OHCI,815
2021,OHCI,1054
2022,OHCI,1031
2023,OHCI,1040
2024,OHCI,984
2021,OHDA,823
2022,OHDA,879
2023,OHDA,910
2024,OHDA,874
2020,OHKS,396
2021,OHKS,1285
2022,OHKS,1045
2023,OHKS,930
2024,OHKS,898
2020,OHMI,230
2021,OHMI,1055
2022,OHMI,1011
2023,OHMI,975
2024,OHMI,999
2020,OHST,695
2021,OHST,1105
2022,OHST,1080
2023,OHST,992
2024,OHST,1180
2020,OHTO,545
2021,OHTO,1067
2022,OHTO,1235
2023,OHTO,1090
2024,OHTO,1074
2020,OHUN,217
2021,OHUN,923
2022,OHUN,1172
2023,OHUN,1028
2024,OHUN,1103
2020,OHYO,525
2021,OHYO,821
2022,OHYO,873
2023,OHYO,1062
2024,OHYO,1002
2020,OKEC,103
2020,OKNE,70
2020,OKST,1027
2021,OKST,1275
2022,OKST,1227
2023,OKST,1241
2024,OKST,993
2020,OKTU,788
2021,OKTU,1152
2022,OKTU,1045
2023,OKTU,1047
2024,OKTU,1099
2020,OKUN,952
2021,OKUN,1042
2022,OKUN,1197
2023,OKUN,1175
2024,OKUN,1071
2021,ORCL,76
2022,ORCL,78
2023,ORCL,69
2024,ORCL,169
2020,ORPS,78
2021,ORPS,937
2022,ORPS,930
2023,ORPS,875
2024,ORPS,898
2020,ORST,591
2021,ORST,1035
2022,ORST,1014
2023,ORST,990
2024,ORST,996
2020,ORUN,529
2021,ORUN,1133
2022,ORUN,1127
2023,ORUN,1132
2024,ORUN,1143
2022,PABL,87
2020,PABU,321
2021,PABU,808
2022,PABU,869
2023,PABU,963
2024,PABU,1025
2023,PACL,76
2023,PACS,85
2020,PADU,390
2021,PADU,764
2022,PADU,906
2023,PADU,882
2024,PADU,834
2023,PAED,157
2024,PAED,82
2023,PAGA,86
2023,PAIU,75
2023,PAKU,81
2020,PALE,211
2021,PALE,823
2022,PALE,881
2023,PALE,839
